freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.388e+01,2.032e+01,3.722e+02,4.064e+02
1.5,6.294e+01,6.758e+01,2.286e+02,3.591e+02
3.0,6.059e+01,7.126e+01,3.766e+01,1.695e+02
4.4,5.563e+01,6.895e+01,2.805e+02,4.051e+02
5.9,5.951e+01,7.474e+01,1.168e+03,1.302e+03
7.4,6.547e+01,6.609e+01,1.957e+03,2.089e+03
8.9,6.598e+01,7.942e+01,2.784e+03,2.929e+03
10.4,7.299e+01,1.158e+02,3.779e+03,3.968e+03
11.9,7.150e+01,8.852e+01,4.993e+03,5.153e+03
13.3,5.905e+01,6.982e+01,6.382e+03,6.511e+03
14.8,5.372e+01,7.304e+01,8.151e+03,8.278e+03
16.3,5.590e+01,7.220e+01,1.041e+04,1.054e+04
17.8,6.480e+01,9.644e+01,1.313e+04,1.329e+04
19.3,6.938e+01,9.690e+01,1.492e+04,1.509e+04
20.8,6.286e+01,9.200e+01,1.727e+04,1.742e+04
22.2,7.416e+01,6.220e+01,2.121e+04,2.134e+04
23.7,8.272e+01,7.248e+01,2.513e+04,2.528e+04
25.2,9.012e+01,6.655e+01,2.720e+04,2.736e+04
26.7,9.645e+01,7.028e+01,2.932e+04,2.948e+04
28.2,8.294e+01,7.824e+01,3.396e+04,3.412e+04
29.6,7.999e+01,7.789e+01,4.066e+04,4.082e+04
31.1,7.625e+01,8.350e+01,4.885e+04,4.901e+04
32.6,7.837e+01,7.751e+01,5.749e+04,5.765e+04
34.1,7.606e+01,8.090e+01,6.763e+04,6.779e+04
35.6,8.419e+01,9.275e+01,8.166e+04,8.183e+04
37.1,1.052e+02,1.184e+02,1.010e+05,1.012e+05
38.5,1.669e+02,1.885e+02,1.283e+05,1.287e+05
40.0,2.443e+02,3.319e+02,1.632e+05,1.638e+05
41.5,3.856e+02,5.459e+02,2.130e+05,2.139e+05
43.0,7.084e+02,8.861e+02,2.826e+05,2.842e+05
44.5,1.191e+03,1.529e+03,3.339e+05,3.366e+05
46.0,2.312e+03,2.164e+03,4.141e+05,4.186e+05
47.4,3.886e+03,3.057e+03,5.661e+05,5.730e+05
48.9,4.707e+03,4.887e+03,7.835e+05,7.930e+05
50.4,5.717e+03,5.859e+03,9.481e+05,9.597e+05
51.9,3.986e+03,5.600e+03,9.941e+05,1.004e+06
53.4,1.755e+03,5.571e+03,9.653e+05,9.727e+05
