freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.032e+00,2.409e+02,5.437e+00,2.544e+02
1.5,1.614e+01,1.426e+02,2.739e+01,1.861e+02
3.0,1.700e+01,1.875e+01,3.112e+01,6.687e+01
4.4,1.688e+01,2.453e+02,2.866e+01,2.909e+02
5.9,1.525e+01,1.124e+03,2.591e+01,1.165e+03
7.4,1.601e+01,2.011e+03,2.614e+01,2.053e+03
8.9,1.960e+01,3.154e+03,2.830e+01,3.202e+03
10.3,3.805e+01,4.269e+03,3.229e+01,4.339e+03
11.8,3.756e+01,5.169e+03,4.026e+01,5.247e+03
13.3,2.380e+01,7.120e+03,3.259e+01,7.176e+03
14.8,3.511e+01,9.656e+03,2.752e+01,9.719e+03
16.3,7.906e+01,1.160e+04,2.937e+01,1.171e+04
17.7,9.393e+01,1.446e+04,3.607e+01,1.459e+04
19.2,9.886e+01,1.926e+04,4.779e+01,1.941e+04
20.7,1.227e+02,2.556e+04,3.837e+01,2.572e+04
22.2,1.254e+02,3.261e+04,5.035e+01,3.279e+04
23.7,6.739e+01,4.201e+04,1.056e+02,4.218e+04
25.1,5.247e+01,5.713e+04,1.556e+02,5.734e+04
26.6,1.262e+02,7.859e+04,2.285e+02,7.895e+04
28.1,2.648e+02,1.105e+05,2.097e+02,1.109e+05
29.6,3.942e+02,1.678e+05,1.340e+02,1.684e+05
31.0,6.616e+02,2.624e+05,1.178e+02,2.632e+05
32.5,1.601e+03,3.968e+05,8.866e+01,3.985e+05
34.0,2.913e+03,5.136e+05,9.037e+01,5.166e+05
35.5,3.958e+03,4.773e+05,7.523e+01,4.813e+05
37.0,4.855e+03,4.024e+05,5.612e+01,4.073e+05
38.4,4.848e+03,3.217e+05,4.136e+01,3.266e+05
39.9,4.309e+03,2.459e+05,3.366e+01,2.502e+05
41.4,4.343e+03,1.876e+05,3.685e+01,1.919e+05
42.9,4.597e+03,1.387e+05,4.820e+01,1.434e+05
44.4,4.668e+03,1.008e+05,5.829e+01,1.055e+05
45.8,4.936e+03,7.452e+04,7.214e+01,7.953e+04
47.3,5.488e+03,5.705e+04,1.752e+02,6.271e+04
48.8,7.616e+03,4.521e+04,2.904e+02,5.312e+04
50.3,1.105e+04,3.662e+04,3.653e+02,4.803e+04
51.7,1.224e+04,3.109e+04,3.508e+02,4.368e+04
53.2,1.595e+04,2.800e+04,4.796e+02,4.443e+04
54.7,1.929e+04,2.971e+04,7.107e+02,4.971e+04
56.2,1.554e+04,3.029e+04,8.625e+02,4.670e+04
57.7,1.011e+04,2.627e+04,1.022e+03,3.740e+04
59.1,6.151e+03,2.233e+04,1.206e+03,2.969e+04
60.6,4.747e+03,2.087e+04,1.007e+03,2.662e+04
62.1,5.867e+03,1.984e+04,7.666e+02,2.647e+04
63.6,7.755e+03,2.039e+04,6.601e+02,2.880e+04
65.1,7.509e+03,2.029e+04,6.681e+02,2.847e+04
66.5,9.040e+03,2.219e+04,8.496e+02,3.207e+04
68.0,1.008e+04,2.436e+04,1.071e+03,3.550e+04
69.5,9.520e+03,2.483e+04,1.460e+03,3.581e+04
71.0,7.314e+03,2.158e+04,1.770e+03,3.066e+04
72.4,7.218e+03,2.061e+04,1.516e+03,2.934e+04
73.9,8.363e+03,2.217e+04,1.127e+03,3.166e+04
75.4,6.351e+03,1.693e+04,1.260e+03,2.454e+04
76.9,4.418e+03,1.226e+04,8.936e+02,1.757e+04
78.4,3.160e+03,1.005e+04,4.168e+02,1.363e+04
79.8,2.205e+03,9.324e+03,2.099e+02,1.174e+04
81.3,1.494e+03,1.033e+04,1.758e+02,1.200e+04
82.8,1.153e+03,1.434e+04,2.017e+02,1.570e+04
84.3,8.867e+02,2.091e+04,2.339e+02,2.203e+04
85.8,6.786e+02,2.798e+04,2.318e+02,2.889e+04
87.2,5.931e+02,3.462e+04,2.274e+02,3.544e+04
